LEMMA,TAG,PRECEDING,CONSTRUCTION,FOLLOWING,CONSTRUCTION_NAME,CONSTRUCTION_DETAILS,PERSONAL_NAME,ANIMACY (PSR),ANIMACY (PSE),ALIENABILITY,POSSESSIVE (?),,Word order,,,
kveld,nheþ,Þaðan fór Gunnlaugur í Veradal og kom þar að,kveldi,jafnan sem Hrafn hafði áður verið um nóttina,pre-dat,að,,,,,X,,,,,
þing,nhee,En nú nefndist Vémundur Björn og kvaðst vera reikunarmaður einn og sagðist þar vildu bíða,þings,og beiddi hann bónda viðtöku þessa stund,gen,s,,,,,X,gov (verb),,,,
fótur,nkfþ,» Þá tók Karl reip og renndi rúmsnöru að,fótum,Skíða og knýtti í tagl hestinum og sté á bak og ríður fyrir ofan Skorðumýri,pre-dat,að,,Y,Y,N,,,,,,
land,nheþ,Veitti Ólafur konungur þar jarli friðland og veislur stórar svo að hann mátti þar vel halda sig í,landi,og lið sitt,pre-dat,í,,,,,X ,,,,,
ferð,nveþ,Fyrir þessum ófriði stökk Þangbrandur til Noregs og kom á fund Ólafs konungs og sagði honum hvað til tíðinda hafði borið í sinni,ferð,og kvaðst það hyggja að eigi mundi kristni við gangast á Íslandi,pre-dat,í,,,,,X,,,,,
faðir,nkee,,föður,Gríms Jórusonar,gen,ur,,Y,Y,N,,,2,,,
bóndi,nkee,Þorvaldur gerði ekki vart við sig og gekk heim skjótt og inn í skála að rúmi,bónda,og segir að menn fóru að bænum og eigi ráðið að með góðum vilja sé þeim er hér eru fyrir,gen,a,,Y,N,Y,,,2,,,
orð,nhfe,Ásgerður tók til,orða,,pre-gen,til,,,,,X,gov (til),,,,
snorri,nkee-s,En er flokkurinn Snorra gekk neðan skriðuna þá skaut Steinþór spjóti að fornum sið til heilla sér yfir flokk Snorra en spjótið leitaði sér staðar og varð fyrir Már Hallvarðsson frændi,Snorra,og varð hann þegar óvígur,gen,a,+PN,Y,Y,N,,,2,,,
konungur,nkee,En er þetta spyrja Gunnhildarsynir þá fara þeir suður í Raumsdal og á drepinn tveim vetrum eftir fall Hákonar,konungs,,gen,s,,Y,N,Abs,,,2,,,
höfuð,nheþ,Sá hinn sami djákn hafði sull í,höfði,sér,pre-dat,í,,Y,Y,N,,,,,,
dagur,nkfþ,Vil eg gefa honum féið og þar með vingan mína en eg vil það í móti hafa að hann ráði af,dögum,Þórarin ofsa,pre-dat,af,,,,,X ,,,,,
þing,nheþg,Hún var og þar á,þinginu,,pre-dat,á,,,,,X,,,,,
land,nheþ,svo voru þeir og betur haldnir en nokkurir menn aðrir í því,landi,því að konungur sparði hvorki við þá fé né fullting ef þeir kunnu til að gæta,pre-dat,í,,,,,X,,,,,
konungur,nkee,heldur en fyrr en reiði,konungs,,gen,s,,Y,N,Abs,,,2,,,
þórdísur,nvee-s,Atli Hjálmsson hafði farið norður á Strandir eftir hval,Þórdísar,Snorradóttur,gen,ar,+PN,Y,Y,Y,,,2,,,
eyjólfur,nkee-s,Það var sagt að tveir heimamenn,Eyjólfs,höfðu verið í Grímstungum um nóttina,gen,s,+PN,Y,Y,Y,,,2,,,
skip,nheþ,Eg mun leggja mitt skip að því,skipi,þeirra er mest er,pre-dat,að,,,,,X,,,,,
fundur,nkee,Vémundur fer nú einhvern dag á Jarlsstaði til,fundar,við Örnólf rellu og falar gripi að honum,pre-gen,til,,,,,X,gov (til),,,,
faðir,nkee,,föður,Jóns,gen,ur,,Y,Y,N,,,2,,,
konungur,nkee,Allir vinir,konungs,löttu ákaflega fararinnar og þótti konungur út seldur ef hann færi við annan mann,gen,s,,Y,Y,Y,,,2,,,
jarl,nkeþg,Höfðu þeir fengið skatt af,jarlinum,,pre-dat,af,,,,,X,,,,,
faðir,nkee,Véfröður kom út síðar í Gönguskarðsárósi og gekk norðan til,föður,síns,pre-gen,til,,,,,X,gov (til),,,,
lið,nhee,,liðs,og skip furðulega stór,gen,s,,,,,,,2,,,
land,nheþ,En eftir það beiddist Þorlaug að fara af,landi,brott og kvaðst hafa heitið Rómferð sinni í vanmætti sínum en Þórir kvað það eigi ráðlegt að skiljast við hægindi og kvaðst ófús vera ráðabreytni,pre-dat,af,,,,,X,,,,,
hönd,nveþ,« Haf þú þetta í,hendi,og ver eigi slyppur,pre-dat,í,,Y,Y,N,,,,,,
konungur,nkee,» Verður svo um síðir að Gestur fer með Þórði og kemur á,konungs,fund,gen,s,,Y,N,Abs,,,1,,,
fé,nheþ,Þykir mér sem sénn muni minn kostur að eg muni slíkt hljóta að hafa sem þú skefur mér af,fé,en þó skulum við skilja að sinni þó að þú gerir minn harðan,pre-dat,af,,,,,X,,,,,
bóndi,nkee,Það er einn tíma að Finnbogi kom að máli við jarl og bað hann fara til Sandeyjar að sætta þau Ingibjörgu « og vil eg það til skilja með atgöngu yðvarri að eg fái Ragnhildar dóttur hennar en unna henni sæmdar fyrir dráp Álfs,bónda,hennar,gen,a,,,,,X,gov (verb),,,,
konungur,nkee,,konungs,til búa þeirra er hann hafði átt en þá var Ástríður í brottu og spurðu þeir ekki til hennar,gen,s,,,,,,,2,,,
bær,nkeeg,Nú ríður flokkurinn til,bæjarins,í Hundadal og bjóða þeir bræður förunautum sínum að þeir taki af hestum sínum utan garðs og láta eigi hrossin ganga í túnið,pre-gen,til,,,,,X,gov (til),,,,
faðir,nkee,Vil eg senda yður austur í Víkina á fund Þorbjarnar,föður,míns til trausts og halds,gen,ur,,Y,N,Abs,,,2,,,
bróðir,nkee,« Einar fluga sagði lát Einars,bróður,míns er hann kveðst fellt hafa á kaupskipinu í fyrra sumar og má vera að nú gefi til að leita eftir bótunum við hann Einar,gen,ur,,Y,Y,N,,,2,,,
skip,nhee,Breiðvíkingar komu til,skips,um daginn og gengu hvorir með sínum flokki,pre-gen,til,,,,,X,gov (til),,,,
hestur,nkfþ,stigu af,hestum,og gengu þar til er bardaginn hafði verið,pre-dat,af,,Y,N,Abs,,,,,,
leið,nveþg,Finnur þú á,leiðinni,þá far þú til smiðju en eg mun ríða fyrir,pre-dat,á,,,,,X,,,,,
mál,nheþ,« Það er mikið er þú kýst þann manninn til er verstur er í,máli,þessu og eigi hirðir hvað til fjárins vinnur,pre-dat,í,,,,,X,,,,,
faðir,nkee,,föður,Ásmundar,gen,ur,,,,,,,2,,,
hönd,nvee,Sat Haraldur í hásæti á aðra hönd jarli en til annarrar,handar,kona jarls,pre-gen,til,,,,,X,gov (til),,,,
tíðindi,nhfe,Líður nú svo fram um jólin að ekki ber til,tíðinda,,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,Guðlaugur var fyrir mest með Lofti af öllum hans mönnum en hann hafði þá hið besta mannval og eigi færri en tíu tigi,manna,,gen,na,,,,,PART - 10,,,,,
skip,nhee,Gunnar lætur flytja vöru þeirra bræðra til,skips,,pre-gen,til,,,,,X,gov (til),,,,
kona,nvfe,Hún er svo,kvenna,að mér er mest um að eiga og ekki mun eg kvongast í bráð ef eg nái eigi þessu ráði,gen,na,,,,,PART - svo,,,??,,
land,nheþ,Var það bundið um nætur á,landi,uppi,pre-dat,á,,,,,X,,,,,
þing,nheþ,Nær þessu var það tíðinda eitt sumar á,þingi,að búðir Snorra Sturlusonar stóðu hið næsta og Allsherjarbúð er Magnús goði átti son Guðmundar gríss og Solveigar dóttur Jóns Loftssonar,pre-dat,á,,,,,X,,,,,
ásgerður,nvee-s,En er voraði lýsti Egill yfir því fyrir konungi að hann ætlaði í brott um sumarið og til Noregs og vita hvað títt er um hag,Ásgerðar,« konu þeirrar er átt hefir Þórólfur bróðir minn,pre-gen,til,+PN,Y,N,Abs,,,,,,
leið,nveþ,Nú frétta þeir Már þetta að ekki var karla heima á Staðarhóli en Ólafur væri á,leið,þeirra,pre-dat,á,,,,,X ,,,,,
maður,nkfe,hafði haft Einar jarl því að það var á margra,manna,vitorði með hverjum skildaga þeir Einar og Brúsi bræður höfðu félag sitt gert,gen,na,,,,,PART - mart,,,,,
skip,nheþ,bera merki þitt og vera í stafni á,skipi,þínu,pre-dat,á,,,,,X,,,,,
hlutur,nkfe,Ólafur konungur var vanur að hafa oft ræður við Dag og spurði hann ýmissa,hluta,,gen,a,,,,,X,gov (verb),,,,
þing,nhee,Þeir sögðu að þess beiddu þeir að hann riði heim í Odda og hefði þar setu en þeir létust mundu hafa aðra í Skarði og bíða svo,þings,en fjölmenna síðan til þings og vita hvorir þá yrðu aflameiri,gen,s,,,,,X,gov (verb),,,,
eyjólfur,nkee-s,» segir Kári og þreif spjót af manni og skaut til,Eyjólfs,og kom það á hann miðjan og gekk í gegnum hann,pre-gen,til,+PN,,,,X,gov (til),,,,
sök,nveþ,Sigurður jarl bað konung gefa Þrændum þetta ekki að,sök,,pre-dat,að,,,,,X,,,,,
tíðindi,nhfe,Jarl þóttist spyrja þaðan,tíðinda,,gen,a,,,,,X,gov (verb),,,,
skip,nheþg,Svalur og Þúfa hurfu frá,skipinu,þegar hina fyrstu nátt og spurðist eigi til þeirra nokkura stund en reyndar voru þau í fjallinu og trylltust þar bæði,pre-dat,frá,,,,,X,,,,,
hönd,nvfþ,en hann sneri til málaleitunar við Helga og mælti hvenær hann skyldi greiða af,höndum,fé það « er Halla á í þinn garð,pre-dat,af,,,,,X,,,,,
mál,nhfe,Get eg að þú hafir það svo þinna,mála,að þú kallir hann skógarmann þinn,gen,a,,,,,PART - svo,,,??,,
hönd,nveþ,át og drakk með Einari sem hann ætti ekki um að vera og af,hendi,fékk hann sverðið,pre-dat,af,,,,,X,,,,,
sonur,nkee,Hann var lítill vin þeirra í Aðalvík Magnúss prests og Snorra,sonar,hans og vísaði Snorri Órækju þangað til föstumatar,gen,ar,,Y,Y,N,,,2,,,
maður,nkfe,Þann dag er þeir voru við lækinn riðu menn brott af Lambanesþingi og fór mart,manna,til Eiða með Helga Ásbjarnarsyni,gen,na,,,,,PART - mart,,,,,
skip,nhee,En Þorkell Bassason hljóp að og vann á honum og annar maður með honum en Þorvarður komst út og til,skips,og kom því á sjó og reri yfir fjörð,pre-gen,til,,,,,X,gov (til),,,,
hlutur,nkeþ,og þótti þeim miklu við auka sína svívirðing er þeir fengu því heldur sem þeir lögðu meiri stund á að ná Skútu og una nú stórilla sínum,hlut,en létu þar fé mikið,pre-dat,á,,,,,X,,,,,
þing,nheþ,Það sumar var Þorvarður Þorgeirsson á,þingi,,pre-dat,á,,,,,X,,,,,
maður,nkfe,Halli hinn digri kom fyrstur til meðalgöngu og mart,manna,með honum,pre-gen,til,,,,,PART - mart,,,,,
mál,nhee,En er sá tók til,máls,var hann svo hás og rámur að engi maður heyrði það er hann talaði og settist hann niður,pre-gen,til,,,,,X,gov (til),,,,
mál,nheþ,þótti hann lítils virða sín tillög í þessu,máli,,pre-dat,í,,,,,X,,,,,
konungur,nkee,Sighvat angraði mjög missir Hákonar,konungs,svo að honum þótti engi sér í Noregi samjafn,gen,s,,,,,X,gov (verb),,,,
bak,nheþ,Og þegar er þau finnast hleypur Kormákur af,baki,og tekur hana ofan og setur niður hjá sér,pre-dat,af,,Y,Y,N,,,,,,
land,nheþ,Þykist eg enda við þig öll ákveðin orð þó að eg giftist Þorkatli Eyjólfssyni því að hann er nú eigi hér á,landi,,pre-dat,á,,,,,X,,,,,
mál,nheþ,lögðu inn til Agðaness og hittu þar menn að,máli,og spurðu tíðinda,pre-dat,að,,,,,X,,,,,
vetur,nkfe,Var hann þá fimmtán,vetra,gamall,gen,a,,,,,PART - 15,,,,,
faðir,nkee,,föður,Hafliða,gen,ur,,,,,,,2,,,
lið,nheþ,bjóðið út almenningi að,liði,og að skipum og stefnið því liði til móts við mig til Agðaness,pre-dat,að,,,,,X,,,,,
maður,nkfe,Þeir fara nú til vorþings eitt vor með fjóra tigu,manna,og voru allir í litklæðum,pre-gen,til,,,,,PART - 40,,,,,
konungur,nkeeg,Hann var leiddur til,konungsins,,pre-gen,til,,,,,X,gov (til),,,,
dagur,nkee,En það er sumra manna sögn að skipið hafi séð verið norður fyrir Katanesi að aftni,dags,í stormi miklum og stóð veðrið út á Péttlandsfjörð,gen,s,,N,N,Abs,,,2,,,
bróðir,nkfe,Um morguninn eftir var Þorgeir mjög snemma á ferli og talaði til þeirra,bræðra,að þeir skyldu upp standa,pre-gen,til,,,,,X,gov (til),,,,
maður,nkee,Hann fer nú heiman og þar til er hann kemur í Kaupang til,manns,er Þórður hét,pre-gen,til,,,,,X,gov (til),,,,
vinur,nkfe,Þá er Sturla hafði senda þá Svarthöfða til Geirshólms reið hann sjálfur vestur á Reykjahóla til bús síns og gerði þaðan menn sína vestur í fjörðu til Hrafnssona og annarra,vina,sinna og stefndi vestan liði og lagði þann stefnudag að allir skyldu koma til Sauðafells laugardaginn fyrir Lárentíusmessu,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkee,En mikil er alvalds raun og mörg,konungs,ráð,gen,s,,Y,N,Abs,,,1,,,
konungur,nkee,ef vér samþykktum með þér að Magnús væri til,konungs,tekinn að þú skyldir styrkja guðs rétt í öllum stöðum með öllum krafti þínum,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,Eftir það fór Kormákur á fund,manna,sinna,gen,na,,Y,N,Abs,,,2,,,
þing,nheþg,Glúmur hafði mikinn liðsafla á,þinginu,og svo hvorirtveggju,pre-dat,á,,,,,X,,,,,
hús,nheþ,Þar var lukt hömrum stórum svo að þar sá ekki meira en í hálfrokknu,húsi,,pre-dat,í,,,,,X,,,,,
ráð,nhfþ,Það hafa menn fyrir satt haft að Gestur hafi verið í,ráðum,með sveinunum því að hann var skyldur þeim að frændsemi,pre-dat,í,,,,,X,,,,,
bróðir,nkfe,Af þessu varð þar mikið sundurþykki enn af nýju milli þeirra,bræðra,,gen,a,,,,,X,gov (milli),,,,
þing,nheþg,Málum þessum var þar slegið í sætt þegar á,þinginu,og var Snorri goði ósmár í öllum sáttmálum því að hann vildi eigi að þessi mál kæmu til alþingis því að þá var eigi sæst enn á víg Þorsteins Gíslasonar,pre-dat,á,,,,,X,,,,,
mál,nheþ,Og eitt vor er Þorsteinn var út hér um veturinn kemur Einar Þórisson að,máli,við föður sinn og beiðist af honum tillags og segist vilja fara til félags við Þorstein,pre-dat,að,,,,,X,,,,,
hús,nhfe,« Fylg þeim til,húsa,minna og ger þeim þar góða veislu,pre-gen,til,,,,,X,gov (til),,,,
þing,nheþg,biðjandi að þú lesir nú betra og mjúkara yfir okkur kumpánum en í sinn á,þinginu,,pre-dat,á,,,,,X,,,,,
faðir,nkee,,föður,Magnúss,gen,ur,,,,,,,2,,,
maður,nkfe,,Manna,var hann kurteisastur,gen,na,,,,,X,gov (adj),,,,
snorri,nkee-s,föðurbróður,Snorra,goða,gen,a,+PN,Y,Y,N,,,2,,,
maður,nkfe,Þar var margt,manna,fyrir,gen,na,,,,,PART - mart,,,,,
vetur,nkfe,Og er Gunnlaugur var tólf,vetra,gamall bað hann föður sinn fararefna og kvaðst hann vilja fara utan og sjá sið annarra manna,gen,a,,,,,PART - 12,,,,,
skip,nhfe,Og er þeir komu á þann bæ sem konungur var fyrir og sat yfir drykkjuborðum,skipa,þeir bræður sínum mönnum til inngöngu,gen,a,,N,N,N,,,2,,,
þing,nhee,« Ef þér er jafnmikill hugur á að fara til,þings,sem þú lést þá bú þú þig og ríð til þings með mér,pre-gen,til,,,,,X,gov (til),,,,
fé,nhee,Var það upphaf til þeirrar uppreistar er landsmenn gerðu í móti Ólafi konungi að þeir þoldu honum eigi eigi var sú sök við hann rétt fundin að hann væri hnöggur,fjár,við sína menn,pre-gen,til,,Y,N,Y,,,,,,
sverð,nheeg,Gunnar skaut svo fast niður skildinum að hann stóð fastur í jörðunni en tók til,sverðsins,svo skjótt að eigi mátti auga á festa og hjó með sverðinu og kom á höndina Hallbirni fyrir ofan úlflið svo að af tók,pre-gen,til,,,,,X,gov (til),,,,
skip,nhee,« Mun nokkuð meir á götu Ingjalds en þetta þá er hann fer til,skips,,pre-gen,til,,,,,X,gov (til),,,,
orð,nhee,,orðs,né verks,gen,s,,,,,,,2,,,
maður,nkfe,Konungurinn hafði þá nær fjórum hundruðum,manna,,gen,na,,,,,PART - 400,,,,,
fé,nheþg,« Eigi skal nú það þó því að eg vil gjarna að þú takir handsölum á öllu,fénu,,pre-dat,á,,,,,X,,,,,
maður,nkfe,Þeir komu um sumarið að jöklinum Hvítserk og höfðu fundið nokkurar eldstóar,manna,og enn nokkurn veiðiskap,gen,na,,Y,N,Y,,,2,,,
skip,nhee,Snorri goði átti erindi til,skips,í Hraunhöfn og reið hann heiman við fimmtánda mann,pre-gen,til,,,,,X,gov (til),,,,
vinur,nkfe,« Gera mun eg til skaps,vina,minna að dæma málið,pre-gen,til,,Y,N,Abs,X,gov (til),,,,
höfuð,nhee,Trefill sendi Sveinung til,höfuðs,honum,pre-gen,til,,,,,X,gov (til),,,,
þorbjörn,nkee-s,Þorsteins torfa og,Þorbjarnar,í Arnarholti,gen,ar,+PN,Y,N,Y,,,2,,,
maður,nkfe,Voru þeir þá saman fimm tigir,manna,,gen,na,,,,,PART - 50,,,,,
land,nheþ,En eftir andlát Eysteins konungs var Sigurður einn konungur í,landi,meðan hann lifði,pre-dat,í,,Y,N,Abs,,,,,,
skip,nhee,Fór Þórður þá til,skips,og keypti hann þar bjór mikinn og lét flytja inn til Grundar,pre-gen,til,,,,,X,gov (til),,,,
orð,nhfe,Hann tók svo til,orða,,pre-gen,til,,,,,X,gov (til),,,,
fé,nhee,Þar vil eg fara í sveit með honum og afla svo,fjár,og frægðar,gen,r,,,,,X,gov (verb),,,,
tíðindi,nhfe,Var hann fullþroskaður maður þá er þetta var,tíðinda,,gen,a,,N,N,Y,,,2,tið,,
eyvindar,nkee-s,Skósveinn,Eyvindar,þóttist ekki kröftugur til orustu og tók hest sinn,gen,ar,+PN,,,,X,gov (verb),,,,
fé,nhee,En er Þorsteinn vissi það að lönd öll voru numin áður fór hann á fund Steinbjarnar og kaupir hann að honum land og reisir bæ á Tóftavelli og bjó þar nokkura vetur og varð honum gott til,fjár,og metnaðar,pre-gen,til,,,,,PART - nokkur,,,,,
konungur,nkee,Fyrir þessum ófriði stökk Þangbrandur til Noregs og kom á fund Ólafs,konungs,og sagði honum hvað til tíðinda hafði borið í sinni ferð og kvaðst það hyggja að eigi mundi kristni við gangast á Íslandi,gen,til,,Y,N,Abs,,,2,,,
bjarni,nkee-s,« Þó að þér kallið,Bjarna,eigi skíran þá gjöldum vér aldregi þess er þér berið á oss hér um,gen,na,+PN,,,,X,gov (verb),,,,
maður,nkfe,Hún var mörgu slegin og gerði,manna,mun mikinn,gen,na,,,,,PART - mart,,,,,
þing,nheþ,Menn riðu heim af,þingi,og er nú kyrrt lengi,pre-dat,af,,,,,X,,,,,
ferð,nvee,Er mér skylda mikil að styrkja hann til þessarar,ferðar,því að hann er stjúpsonur minn,pre-gen,til,,,,,X,gov (til),,,,
bær,nkfþ,Komu menn víða af,bæjum,og gerðist þar af þys mikill,pre-dat,af,,,,,X,,,,,
sumar,nheþ,kveðst skulu annaðhvort á því,sumri,hafa drepið hann eða rekið af landinu og kastað sinni eign á,pre-dat,á,,,,,X,,,,,
fundur,nkee,gerðu þá ferð sína til,fundar,við konung,pre-gen,til,,,,,X,gov (til),,,,
mál,nhee,Mörður tók til,máls,í annað sinn,pre-gen,til,,,,,X,gov (til),,,,
kona,nvfe,lét sér um hana mest vera allra,kvenna,,gen,na,,Y,Y,Abs,,,2,,,
þorbjörn,nkee-s,Sámur finnur ógleði,Þorbjarnar,og spyr tíðinda en Þorbjörn sagði víg Einars sonar síns,gen,ar,+PN,Y,N,Abs,,,2,,,
konungur,nkee,En veit eg að þú gerir,konungs,boðskap að blinda mig eða drepa,gen,s,,Y,N,Abs,,,1,,,
vetur,nkee,Hugi lét bæta skip þeirra og voru þeir með honum það eftir var,vetrar,,gen,ar,,N,N,Abs,,,2,,,
hönd,nveþ,Hafði hann í,hendi,öxi snaghyrnda,pre-dat,í,,Y,Y,N,,,,,,
land,nhfe,« Satt er það Sighvatur að þú vilt sinna Óttari,landa,þínum og er það drengilegt,gen,a,,Y,N,N,,,2,,,
bóndi,nkeeg,Kona heitir Guðrún og er frændkona,bóndans,að Bægisá og er þar matselja fyrir búi,gen,DEF-ns,,Y,Y,Y,,,2,,,
þing,nheþ,Riðu menn síðan heim af,þingi,,pre-dat,af,,,,,X,,,,,
þing,nhee,En koma mun eg til,þings,en liðinu heit eg engu,pre-gen,til,,,,,X,gov (til),,,,
hönd,nveþ,En með því að þeim þótti eigi í,hendi,liggja að eiga við þá,pre-dat,í,,Y,Y,N,,,,,,
konungur,nkee,hann til,konungs,tekinn um allt land og varð allt landsfólk því fegið er Magnús var konungur orðinn,pre-gen,til,,,,,X,gov (til),,,,
mál,nheþ,Fannst það þó í hans,máli,að hann vill að þeir taki við kristni,pre-dat,í,,,,,X,,,,,
land,nheeg,En er hann kom til,landsins,fór hann vestur fyrir norðan landið,pre-gen,til,,,,,X,gov (til),,,,
dóttir,nvee,Verða mætti þér og styrkur að manninum ef þú efldir hann með mægðum og gjaforði,dóttur,þinnar eftir tilskipan Jökuls,gen,ur,,Y,Y,Abs,,,2,,,
bær,nkeþ,brýna þar upp skipinu og ganga frá sjó og koma að,bæ,,pre-dat,að,,,,,X,,,,,
skip,nheþ,Síðan reið Guðmundur brott frá,skipi,,pre-dat,frá,,,,,X,,,,,
lið,nhee,nú vil eg gefa þér fé til,liðs,,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkfeg,Brátt gerðust greinir í um samþykki,konunganna,og voru margir svo illgjarnir að þeirra gengu svo illa í milli,gen,DEF-nna,,Y,N,Abs,,,2,,,
ferð,nveeg,Snorri latti mjög,ferðarinnar,og kallaði það ráð að gera sér að vinum hina bestu menn á Íslandi og kallaðist skjótt mega svo koma sínum orðum að mönnum mundi sýnast að snúast til hlýðni við Noregshöfðingja,gen,DEF-innar,,,,,PART - mart,,,,,
maður,nkfe,« Hvað,manna,ertu þá,gen,na,,,,,X,gov (verb),,interrogative,,
þing,nhee,Það sumar reið Oddur Þórarinsson til,þings,og gerði Hrana Koðránsson sekjan skógarmann fyrir það er hann laust Filippus Sæmundarson keyrishögg þá er Þórður Sighvatsson sótti hann heim til Hvols,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkee,menn Ólafs,konungs,,gen,s,,Y,Y,Abs,,,2,,,
bróðir,nkfþ,Þorgils falar sláturfé að þeim,bræðrum,en þeir svara sem fyrr og vildu eigi selja,pre-dat,að,,,,,X,,,,,
ráð,nheþ,þeir mundu með nokkuru móti verið báðir að einu,ráði,,pre-dat,að,,,,,X,,,,,
konungur,nkee,Eiríks,konungs,að Uppsölum,gen,s,,,,,,,2,,,
ferð,nvfþ,Nú er að segja frá,ferðum,Þorkels að þá er hann kom á Miklabæ var Þorgils riðinn norður til Öxarfjarðar,pre-dat,frá,,,,,X,,,,,
skip,nhee,Þaðan reið Kjartan til,skips,og Bolli frændi hans var í för með honum,pre-gen,til,,,,,X,gov (til),,,,
vetur,nkfe,Börkur keypti að honum uxa níu,vetra,gamlan,gen,a,,,,,PART - 9,,,,,
snorri,nkee-s,dóttur,Snorra,goða,gen,a,+PN,Y,Y,N,,,2,,,
land,nheþ,Finnbogi býst nú til sunds og er hann leggst frá,landi,bað jarl að dýrið legðist eftir honum,pre-dat,frá,,,,,X,,,,,
konungur,nkee,Og eru þar margar frásagnir um ferðir Ólafs,konungs,gervar síðan af sumum mönnum,gen,s,,Y,N,Abs,,,2,,,
ferð,nvee,Þá bað Guðrún Bolla til,ferðar,með þeim,pre-gen,til,,,,,X,gov (til),,,,
vetur,nkeþ,Það er á einum,vetri,á skammdegi að sendimaður kemur ofan af Víðivöllum á Arneiðarstaði og segir að Droplaug vill að þeir kæmu upp þangað sem fyrst,pre-dat,á,,,,,X,,,,,
nótt,nveeg,« Mikið er enn eftir,næturinnar,og kann vera áður dagur sé að Hrærekur hafi fengið sér það fylgsni að hann verði síðan ekki auðfundinn en þeir munu enn skammt brott komnir því að líkin voru vörm,gen,DEF-innar,,,,,X,gov (adj),,,,
maður,nkfe,Gísli býr og til veislu og býður til sín mágum sínum úr Arnarfirði og Þorkötlum tveimur og skorti eigi hálft hundrað,manna,að Gísla,pre-gen,til,,,,,PART - 1/2 100,,,,,
bær,nkeþg,» Nú réð hann og fóru þeir út til bæjarins og tóku þeir herbergi í,bænum,,pre-dat,í,,,,,X,,,,,
þing,nheþg,Urðu þar engi önnur tíðindi á,þinginu,en Gísli verður sekur,pre-dat,á,,,,,X,,,,,
leið,nveþ,Þeir riðu með Kjartani á,leið,alls tólf saman,pre-dat,á,,,,,X,,,,,
móðir,nvee,,móður,Sæmundar hins fróða,gen,ur,,,,,X,,,,,
konungur,nkee,Svo var og um Kálf Árnason að þá fann hann í hverja snöru hann hafði gengið af áeggjan Knúts,konungs,,gen,s,,Y,N,Abs,,,2,,,
þing,nhee,« Sjaldan fór svo þá er vel vildi að þú færir þá af þingi er eg fór til,þings,,pre-gen,til,,,,,X,gov (til),,,,
eyjólfur,nkee-s,En sú var sættargerð þeirra,Eyjólfs,og Einars að stafshöggið er Eyjólfur laust Bjarna og orðin Þormóðs skulu óhelga hann sjálfan,gen,s,+PN,Y,N,Abs,,,2,,,
sök,nvfþ,» « Illu heilli hefir þú til Íslands farið ef af þeim,sökum,skulum vér þjóna íslenskum mönnum eða láta ella frændur vora eða vini,pre-dat,af,,,,,X,,,,,
tíðindi,nhfe,Helga stóð úti og spyr,tíðinda,,gen,a,,,,,X,gov (verb),,tið,,
faðir,nkee,,föður,Eyjólfs,gen,ur,,,,,,,2,,,
hús,nheþg,» Og snúa þeir hestunum og ríða á Laugaland og koma að,húsinu,þar er Oddur sagði hafrana inni vera,pre-dat,að,,,,,X,,,,,
vinur,nkee,Nú sendi eg þig til Eyjólfs,vinar,míns og mun hann vel við þig gera,gen,ar,,,,,X,gov (til),,,,
konungur,nkee,er Haraldur konungur hafði haft réðu það að hleypiskip var gert og sent norður til Þrándheims að segja fall Haralds konungs og það með að Þrændir skyldu taka til konungs son Haralds,konungs,,pre-gen,s,,,,,X,gov (til),,,,
vetur,nkfe,« Síðan eg var níu,vetra,hefi eg jafnan sjálfráði verið ferða minna og svo mun enn,gen,a,,,,,PART - 9,,,,,
maður,nkfe,nær átta tigum,manna,,gen,na,,,,,PART - 80,,,,,
maður,nkfe,þeir Tjörvi vestan með hundrað,manna,og voru á þingi nótt eina,gen,na,,,,,PART - 100,,,,,
skip,nhee,fer síðan aftur til,skips,þeirra,pre-gen,til,,,,,X,gov (til),,,,
tíðindi,nhfe,þar var þá fyrir lið Hákonar konungs og sjálfur hann var þar í liðsafnaði og búnaði og stefndi til sín lendum mönnum og leiðangursmönnum og hafði þá áður langa hríð ekki til,tíðinda,spurt af Björgyn,pre-gen,til,,,,,X,gov (verb),,spurt af Björgyn,,tið
konungur,nkee,« Vera má það en ef eg skyldi það gera þá mundi eg helst vilja gera það fyrir sakir Magnúss,konungs,eða hans manna,gen,s,,Y,N,Abs,,,2,,,
maður,nkfe,Þórður hafði þá bú í Geldingaholti og reið hann með sex hundruð,manna,á þing,gen,na,,,,,PART - 600,,,,,
maður,nkfe,,manna,mestur,gen,na,,Y,Y,Abs,SUPER,,,,,
hönd,nveþ,Sá var hinn þriðji draumur þinn að þú þóttist hafa gullhring á,hendi,,pre-dat,á,,Y,Y,N,,,,,,
maður,nkfþ,Þetta vor fór Órækja um alla fjörðu og tók fé af,mönnum,,pre-dat,af,,Y,N,Y,,,,,,
bær,nkeþg,að sitja löngum úti á haugi einum eigi langt frá,bænum,og svo bar nú að móti er Hallfreður kom,pre-dat,frá,,,,,X,,,,,
