LEMMA,TAG,SENTENCE,,
höfuð,nheo,Þá spurði Halldór hvort þeir skyldu hafa,höfuð,Grettis með sér til alþingis
höfuð,nheog,Kom það högg í,höfuðið,og varð svo mikið að í jöxlum nam staðar
höfuð,nheþ,Og er hann hefir það gert þá tekur hann stein einn mikinn og keyrir niður á bergið nærri,höfði,Helga svo að jörðin bifaðist við
höfuð,nheo,Þá hjó Þórður,höfuð,af Ormi og gekk síðan heim til Óss og lýsti vígi Orms á hönd sér
höfuð,nheþ,Þorsteinn gerir þá sem fyrr að hann vafði feldinum að,höfði,sér og brá honum þó svo við að ómegin var á honum svo að hann vissi ekki til sín
höfuð,nheog,Jökull leggur þá til Finnboga en annarri hendi slær hann með sverðinu og af Bergi,höfuðið,
höfuð,nheþ,« Þú munt finna að,höfði,þér dúk einn er þú vaknar og er þar knýtt í bréf það er á eru rituð nöfn guðs
höfuð,nheo,og rekur í,höfuð,fóstra Hallgríms
höfuð,nheo,Hann sýndi jarli,höfuð,Kols
hönd,nveo,Reið Sigvarður biskup austur á Breiðabólstað til móts við Þórð að bæn Hjalta og leitaði um sættir fyrir,hönd,bænda
hönd,nveþ,Börkur hóf upp öxina er hann hafði í,hendi,og laust til Einars en Einar bar fram hjá og kom höggið á lend hestinum
hönd,nveng,Síðan var bundin,höndin,og gengið til Lögbergis
hönd,nvfo,Og er Haraldur hafði verið sjö tigu vetra konungur þá seldi hann í,hendur,Eiríki syni sínum ríki
hönd,nveþ,Og er þeir komu fyrir skáladyrnar þá snerist Einar frá fylgdinni og gekk einn í brott til kirkjugarðsins og tók öxi úr,hendi,tíðamanni einum og gekk suður um kirkjuna
hönd,nveþ,Og er svo hafði fram farið um hríð þá tók leikurinn ekki að batna af þeirra,hendi,
hönd,nveþ,Gengu menn þá að Þorkatli presti og báðu hann bjóða þeim sæmdir fyrir fjörráð og fyrir ákomur þær er heimamenn hans höfðu veitt þeim Þorgilsi og Einari meðan þeir voru inni því að hvortveggi þeirra var skemmdur á,hendi,er þeir komu út
hönd,nvfo,« Ef þú kemur til Íslands þá skaltu selja hann í,hendur,Guðmundi Eyjólfssyni eða Skafta lögsögumanni eða öðrum nokkurum höfðingjum
hönd,nveþ,Og einn morgun reið Guðmundur heiman snemma einn saman til Vaðla og var Þórhildur úti og gyrð í brækur og hafði hjálm á höfði og öx í,hendi,
hönd,nveþ,en konungur gekk til hans og bar hann undir,hendi,sér ofan á jöfnu
hönd,nveog,Sverðið Kára kom á hjaltið og stökk af í braut og á úlfliðinn Móðólfi og tók af,höndina,og féll sverðið niður og svo höndin en sverð Kára hljóp á síðuna Móðólfi og inn í millum rifjanna
hönd,nvfo,Þá er Ólafur konungur gekk fram úr skjaldborginni og í öndurða fylking og bændur sáu í andlit honum þá hræddust þeir og féllust þeim,hendur,
hönd,nveo,Þá kallaði Þórður Þorvaldsson á Halldór Jónsson og Illugasonu að þeir skyldu leita um grið og sættir fyrir hans,hönd,við Sturlu
hönd,nveþ,en þeir Styrbjörn af Hrólfs,hendi,
hönd,nvfn,Björn heilsaði þeim þegar þeir fundust en Snorri tók kveðju hans en Mávi féllust,hendur,því að honum þótti Björn skjótlegur til meins við Snorra ef honum væri nokkuð gert til ófriðar
hönd,nvfo,« Eigi þykir mér þetta svo hæglegt að seilast til sæmdar í,hendur,þeim Norðlendingum
hönd,nvfo,Er og þess engi von að eg taki þetta mál fyrir,hendur,þeim en eigi mun eg skiljast við frændur mína þá er eftir þessu máli eiga að sjá
hönd,nvfþ,Eftir þetta ræður sá til er skírsluna skyldi af,höndum,inna og jafnskjótt sem hann var kominn undir jarðarmenið hlaupast þessir menn að mót með vopnum sem til þess voru settir
hönd,nven,Hann sendi og þau orð að Eyjólfur forvitnaðist af Steingrími hvort hann mundi vilja una við svo búið og að Eyjólfur skipaði málum fyrir hans,hönd,sem honum líkaði en Áskell taki málum fyrir Vémund
hönd,nveo,En er hann var í brott farinn þá fékk konungur í,hönd,Hildiríðarsonum sýslu þá á Hálogalandi er áður hafði Þórólfur haft
hönd,nveo,Á aðra,hönd,sat Þórhalla dóttir Ásgríms Elliða-Grímssonar
hönd,nveþ,Tók Kolbeinn þá grið fram um páskaviku en vildi ekki þá sætt er Þorsteinn hafði boðið Þórði af hans,hendi,
hönd,nvfþ,Þangað kom Kári til gistingar og tóku þau við honum báðum,höndum,
hönd,nvfo,Indriði lagði fyrstur,hendur,á Hörð og batt hendur hans heldur rammlega
hönd,nvfo,En frændur Óttars og aðrir vinir kenndu ráðin mest Sigurði konungi en hann var þá í Kaupangi og voru bændur mjög geystir á,hendur,honum
hönd,nveo,Sturla son Bárðar Snorrasonar og Þórdísar Sturludóttur hafði mál á,hönd,Þorvaldi
hönd,nveþ,Gengur Skúta nú til og lítur á smíðina Arnórs og hefir hann ekki vopna í,hendi,
hönd,nvfo,Síðan leggja þeir í Löginn upp og halda til Uppsala á,hendur,Haka konungi en hann fer í móti þeim á Fýrisvöllu og hafði lið miklu minna
hönd,nvfþ,Í andlátinu hófu þeir Helgi og Þorkell hann af klæðum á fjöl ösku dreifða og þar á,höndum,þeim skildist öndin við líkamann
hönd,nveþ,Konungur kvað þá þann veg fara mundu af,hendi,« um kvæðislaun við þig sem vér njótum kvæðisins því að enginn hróður verður oss að því kvæði er enginn kann
hönd,nvfþ,Hann hleypur þegar að honum Hallfreði og hjó til hans tveim,höndum,með exinni og kom í tygilhnífinn
hönd,nveþ,Fór þá Þorkell Geitisson af þeirra,hendi,og sagði lögsögumanni hvar komið var og spurði hvort þetta væri rétt er Mörður hafði mælt
hönd,nveo,« Þig kveð eg að þessu Ófeigur og mæli eg fyrir margra,hönd,því að mikil er óöld á mönnum norður hingað en þú veist siðvenju Guðmundar hins ríka
hönd,nveo,En með því að Skeggi vill engan kaupmann til sín taka að sitji á aðra,hönd,honum í vetur þá fæði hann strúg sinn á aðra hönd sér meðan honum líkar
hönd,nvfþ,Tók Guðbjörg tveim,höndum,í kápuna og hélt honum á baki en sveinarnir hjuggu til hans báðir senn
hönd,nveþ,Hann gaf mér hring þenna er eg hefi á,hendi,og kvað svo mega að berast að eg týndi fénu öllu og sagði mig þá eigi félausan ef eg ætti hringinn og bað mig eigi lóga nema eg ætti nakkverjum tignum manni svo gott að launa að eg vildi gefa
hönd,nveo,En þeir lögðu fetil á,hönd,Þórði og ætluðu af að höggva áður Þorbjörn Sælendingur og Þorsteinn lýsuknappur bróðir hans fengu grið til handa öllum þeim því að þar voru tengdir í millum
hönd,nveo,« Eg geri á,hönd,Þóri hundrað silfurs
hönd,nvfo,Og verður þá skilnaður þeirra sá að Ketill vegur Steinólf og fellir á hann stekksgarðinn og fer á brott síðan og lýsir vígi á,hendur,sér þar er honum var óhætt og fer síðan uns hann kemur heim á Staðarhól og segir erindi sitt
hönd,nveo,Áskatli þótti þá farið hafa sem honum kom í hug og von var að og býðst enn til að sætta þá ef hann skal ráða fyrir,hönd,Vémundar
hönd,nveþ,takir þú til þín og skiptir þú um bústaði við hann og fáir honum bú algert hér hjá þér og halt svo,hendi,yfir honum að engri hefnd sé til hans snúið og er þér það sjálfrátt fyrir sakir höfðingskapar þíns
hönd,nvfo,Seldi konungur jarli í,hendur,festar hennar og fékk honum í hendur allt sitt umboð um þann ráðahag og skildust þeir á þinginu að svo loknum málum
hönd,nveo,Glúmur tók það til ráðs að hann fékk byrðing einn mikinn í,hönd,Þorsteini bróður sínum og skal hann halda vestur fyrir og koma til þings með herklæði og vistir
hús,nhfþg,Þá sjá þeir að menn riðu frá,húsunum,eigi færri en sjö tigir og létu þeir þegar drífa á þá grjót og voru þeir menn Eyjólfs dumpaðir illa um herðarnar og sneru þeir aftur
hús,nhfþ,Þetta var þó raundar Grikkjakonungs eiga og auður sem allir menn segja að þar sé rautt gull,húsum,fullum
hús,nheþ,« Eg ætla mér hvorki og er það satt að segja að eg hafði það ætlað þá er eg fór af Íslandi að eigi skyldi að spyrja til mín í öðru,húsi,
hús,nhfþ,Þórdís kona hans spurði hví hann vildi þar heldur land eiga er allt var skógi vaxið að,húsum,heim og mátti hvergi sjá mannaferðir þótt að garði færu
hús,nhfþg,Þá var farið ofan af,húsunum,og til dyra gengið
hús,nhen,Var,hús,það mjög svo fullt af fé og alls konar varningi
hús,nheog,Þorgils var fjölmennur og hlupu menn hans um,húsið,og hyggja Þorkel eigi skulu út komast og ætla að hafa hendur á honum
hús,nhfþg,sáu þeir Þórir að svín tvö hlupu eins vegar frá,húsunum,
hús,nheo,Hann hljóp í,hús,nokkuð og bað sér griða og þess að bóndi skyldi fela hann
hús,nhfog,Þeir hjuggu,húsin,og gekk lið Sigurðar af hendi honum til griða
hús,nhfþ,Hafði Sigurður því elsku mikla á staðnum og fór til við bæn biskups og Orms ábóta frænda síns og sneri áleiðis að,húsum,og ganganda fé
hús,nheo,En þeim mönnum hefir lítt sóst að sækja afarmenni slíkt í,hús,inn er með meira afla hafa til farið sem dæmi finnast að þeim Geir goða og Gissuri hvíta þá er þeir sóttu Gunnar að Hlíðarenda inn í hús með átta tigu manna en hann var einn fyrir og urðu sumir sárir en sumir drepnir og léttu frá atsókninni áður Geir goði fann það af skyni sjálfs síns að honum fækkuðust skotvopnin
jarl,nken-s,,Jarl,tók kveðju hans og ekki skjótt
jarl,nkfn,Orkneyjum Hákon sonur Páls jarls en konungar gáfu honum jarldóm og yfirsókn í Orkneyjum svo sem,jarlar,höfðu haft fyrir honum
jarl,nken-s,,Jarl,var tregur í öllu sáttmáli en lét þó leiðast eftir bænastað þeirra
jarl,nken,» Þá lét,jarl,búa skip með þeim farmi sem Þorsteinn hafa vildi til Noregs og leiddi dóttur sína út með sæmdum miklum
jarl,nken-s,,Jarl,ól við konu sinni eina dóttur barna er Ólöf hét
jarl,nken-s,Þá gerði hann menn sína upp í Gautland til Rögnvalds jarls og lét hann spyrja eftir ef hann vissi hvað til bar er,Jarl,segir að hann vissi það eigi « en ef eg verð þess var
jarl,nken,Sigurður,jarl,bauð til sín að jólum Gilla jarli mági sínum úr Suðureyjum
jarl,nken,Þá kemur,jarl,með liði sínu til Njálssona og spurði ef Hrappur hefði komið þar
jarl,nken,Eftir það sættust þeir konungur og,jarl,og gerðist jarl hans maður og tók lönd í lén af konungi og skyldi enga gjalda skatta af því að þar var herskátt mjög
jarl,nken,Þorkell fóstri skyldi vera í sætt og vináttu við Einar,jarl,og var það mælt að hvor þeirra skyldi veita öðrum veislu og skyldi jarl fyrri En er jarl var þar á veislu þá var veitt hið kappsamlegsta
jarl,nken,Eftir jólin fjölmennti,jarl,mjög til hólmstefnunnar og komu þeir Þorsteinn fyrr til hólms og settust niður á völlinn
jarl,nken,Valþjófur,jarl,og það lið er undan komst flýði upp til borgarinnar Jork
jarl,nken,» Og er,jarl,kom heim þá gekk drottning á fund hans og mælti
jarl,nken,Synir Rögnvalds jarls og Ingibjargar voru þeir Úlfur,jarl,og Eilífur jarl
jarl,nken,Einn tíma lét,jarl,kalla Finnboga til sín
jarl,nken,Þeir Svíakonungur og Eiríkur,jarl,héldu til fundar við Danakonung og höfðu þá allir saman ógrynni hers
jarl,nken,Konungur þóttist þá vita að það mundi satt vera er áður hafði hann grunað um að Arnviður,jarl,mundi hafa látið drepa sendimenn hans tvenna er hann hafði austur sent
jarl,nken,En síðan er Haraldur hinn hárfagri hafði svo skipað að,jarl,sextán jarla undir sér
jarl,nken,En er,jarl,kom til tals við konung þá höfðu þeir fátt talað áður konungur segir að jarl skyldi skírast láta og allt landsfólk hans en að fara með eld og usla yfir eyjarnar og eyða land það nema fólkið kristnaðist
jarl,nken,Það var aðfangskveld jóla í þann tíma er,jarl,var kominn í sæti og mart stórmenni er jarl hafði að sér boðið til jólaveislunnar
jarl,nken-s,,Jarl,biður Svein konung fulltings og liðveislu
jarl,nken,Þorkell fóstri skyldi vera í sætt og vináttu við Einar,jarl,og var það mælt að hvor þeirra skyldi veita öðrum veislu og skyldi jarl fyrri En er jarl var þar á veislu þá var veitt hið kappsamlegsta
jarl,nken,Síðan búast þeir,jarl,og Finnbogi og fara til eyjarinnar með marga menn
jarl,nken-s,»,Jarl,kaus það því að þess fýstu allir hans menn
jarl,nken,Þessu ráði samþykkti og,jarl,og kvað líklegt að heima mundi honum auðið verða framgangs heldur en hjá ókunnu fólki
jarl,nken,til starfs og kostnaðar er,jarl,hafði til að verja landið fyrir Gunnhildarsonum
jarl,nken,Þótti honum þeir Eindriði feðgar vera best komnir til eigna þeirra er,jarl,hafði átt og lausafjár
jarl,nken,Og er þeir,jarl,og hans förunautar voru komnir í einnhvern skóg og voru eigi langt farnir frá því er þeir konungur fundust og þar tekur jarl sótt mikla og hættlega og þegar sendir hann menn aftur á fund Ólafs konungs til þess að hann vildi að konungurinn kæmi þá að hitta hann
kona,nven,Þorsteini óx móður við átekjur hans og fór út í stofuna og hitti Þorfinnu og var þar ein,kona,önnur
kona,nven,Þar réð fyrir konungur er Geirþjófur hét en,kona,hans hét Ólöf hin ríka
kona,nven,Hann var kvongaður maður og hét,kona,hans Þorbjörg
kona,nven,Og er hann hafði þar eigi lengi verið spyr hann af hlaupandi mönnum að Þorkell og Þóra,kona,hans voru komin í Bólstaðarhlíð
kona,nvfo,Þeir tóku á burt,konur,manna og höfðu við hönd sér viku eða hálfan mánuð og færðu síðan aftur þeim sem áttu
kona,nven,Þorlaug hét,kona,Guðmundar hins ríka
kona,nveo,Tók hann Gunnar aftur í sætt við sig en lét skíra,konu,hans og héldu þau síðan rétta trú
kona,nvfn,Taka þeir hann þaðan og alla hans heimamenn þá er vopnfærir voru en,konur,og börn voru rekin í eitt hús
kona,nveþ,Ingimundur brá þá búinu og réðst til Skagafjarðar í Ás til Tuma mágs síns með Sigríði,konu,sinni því að samfarar þeirra voru eigi mjög værar
kona,nvfþ,kvað körlum eigi svo vel til sín verða að örvænt væri að,konum,tækist betur
kona,nven,Guðríður systir hans var manni gift og þótti hún vera skýr,kona,
kona,nveo,Og er Ketill sá að konungur vill ráða réðst hann til ferðarinnar og hafði með sér,konu,sína og börn
kona,nven,Ásgeir hafði selför það sumar ... hafði,kona,hans þar umsýslu bús og smalaferðar
kona,nveo,Honum fannst mikið til hennar og spurði eftir hvað,konu,hún væri
kona,nveþ,lagðist með,konu,einni og var sú lítillar ættar
kona,nven,Það var áhugi manna að Þórgunna mundi sótt hafa hinn sétta tug og var hún þó,kona,hin ernasta
kona,nven,,Kona,hans hét Þorgerður
kona,nven,Þann sama dag fór Þorgerður,kona,Vigfúss inn á Bólstað að segja Arnkatli frænda sínum og bað hann taka við eftirmáli um víg Vigfúss
kona,nven,Rannveig hét,kona,hans
kona,nven,Bessi hinn spaki var vin Þorbjarnar og þá oft heimboð að honum og gjafir en Bessi hafði gefið Helgu marga góða gripi og var það orð á að honum þætti sjá,kona,betri en aðrar síðan hans kona var önduð
kona,nven,Vigdís hét,kona,hans og var Ingjaldsdóttir
kona,nven,Gríma hét,kona,hans
kona,nvfo,Hygg eg að margur mundi þá laus vera við flokkinn ef hann sér heim reyk eða loga til húsa sinna en veit ógerla hvað er títt er um börn eða,konur,eða gamalmenni
kona,nven,Guðrún hét,kona,hans
kona,nven,Þorgerður hét,kona,hans
kona,nven,Honum var boðið til boðsins til Hlíðarenda og skyldi,kona,hans ganga um beina og Bergþóra Skarphéðinsdóttir kona Njáls
kona,nven,bindur klyfjar sínar og fer á burt og,kona,hans og hitta ekki Odd
konungur,nkeo,Kvaddi Sturla,konung,og drottningu og gekk til rúms síns
konungur,nken,En eftir andlát Eysteins konungs var Sigurður einn,konungur,í landi meðan hann lifði
konungur,nken,Féllu mjög enskir menn og þar sem einn féll komu þrír hendur Norðmönnum og féll þar mikið fólk og að lyktum þess dags féll Eiríkur,konungur,og fimm konungar með honum
konungur,nken,Ingi,konungur,var einna mestur og þrekulegastur og þótti hann öldurmannlegastur en Magnús konungur þótti skörulegastur og hvatlegastur en stórir menn og göfuglegir og orðsnjallir
konungur,nken,Fór,konungur,þá út til sjávar og ræður sér þar til skipa
konungur,nken,En Magnús,konungur,fal sig undir bæn Jóns og gaf honum sæmilegar gjafir og skildust með mestu vináttu
konungur,nkeþ,« Ekki mun þess auðið verða að eg þjóni öðrum,konungi,er Ólafur konungur er fallinn
konungur,nken,Hálfur,konungur,var faðir Hjörs konungs
konungur,nkeþ,Fylgdi og fátt manna,konungi,
konungur,nken,Ólafur,konungur,tók þar ófa mikið fé í gulli og silfri og öðru lausafé
konungur,nken,En er Egill,konungur,varð var við ófrið þá snerist hann til viðtöku
konungur,nkeþ,Sighvatur skáld var vinur mikill Rögnvalds jarls í orðum og talaði oft um það fyrir Ólafi,konungi,
konungur,nkfn,Hrollaugur konungur fór upp á haug þann er,konungar,voru vanir að sitja á og lét þar búa hásæti konungs og settist þar í
konungur,nken,Nú er það mitt ráð,konungur,að þú takir Þórólf til þín og látir hann vera í hirð þinni
konungur,nken,Eysteinn var,konungur,tuttugu vetur að Noregi
konungur,nken,En er þeir komu til Niðaróss þá stefndu þeir Eyraþing og á því þingi beiðir Hákon sér konungsnafns og var honum það veitt að bændur tóku hann til konungs yfir hálft land svo sem haft hafði Magnús,konungur,faðir hans
konungur,nkeng,þann er,konungurinn,hefir og þeir allir er hans orðum hlýða eða sá sem þú hefir og aðrir heiðnir menn
konungur,nkeþ,þeir er Ólafi,konungi,höfðu fylgt úr Noregi og þar höfðu átt eigur og frændur og vini og léku miklir landmunir til heimferðar
konungur,nken,Knútur,konungur,bað þau orð segja jarli að hann safnaði her og skipum og færi svo til fundar við konung en ræddi síðan um sættir sínar
konungur,nken,Hann fæddist upp í hirð Játvarðar konungs og var hans fósturson og unni,konungur,honum geysimikið og hafði hann sér fyrir son því að konungur átti ekki barn
konungur,nken,Spyr,konungur,nú víg Bárðar og alla atburði þá sem þar höfðu orðið
konungur,nkeþ,Tók Sigmundur son hans eignir eftir hann og fékk öngva nafnbót af Haraldi,konungi,því að konungur lagði heldur óþykkju á alla frændur Þorgríms sakir vináttu við Ketil
konungur,nkeþ,Þórólfur gaf,konungi,skipið og bað að konungur skyldi svo virða sem honum hafði til gengið að hann hafði fyrir því haft fjölmenni svo mikið að það væri konungi vegsemd en ekki fyrir kapps sakir við hann
konungur,nken,» Nú gaf Magnús,konungur,honum silfur fyrir hólminn og vill nú eigi þar hætta honum og fór Hreiðar út til Íslands og bjó norður í Svarfaðardal þar sem síðan heitir á Hreiðarsstöðum og gerist mikill maður fyrir sér
konungur,nken,Var þá Eiríkur,konungur,klæddur og búinn til ferðar og var hann heldur ókátur
konungur,nken,Þá er Snorri kom til Noregs voru höfðingjar orðnir Hákon,konungur,og Skúli jarl
konungur,nken,Það var einn dag að,konungur,var kátur og mælti til Þórðar
konungur,nken,Bolli segir hvert orðtak manna var á um vináttu þeirra Kjartans og Ingibjargar konungssystur og kvað það nær sinni ætlan að,konungur,mundi heldur gifta honum Ingibjörgu en láta hann lausan ef því væri að skipta
konungur,nken,Hann var fósturfaðir konungs og ráðamaður fyrir liði hans því að,konungur,var þá á barns aldri fyrst er hann kom til ríkis
konungur,nken,Konungur heitir honum vináttu sinni fullkominni og semja þeir,konungur,þetta sáttmál milli sín
konungur,nkeþ,Björn var trauður til og mæltist undan en við bæn margra vina sinna þá hét hann að lyktum að ræða þetta fyrir,konungi,en kvað svo hugur um segja sem konungur mundi ómjúklega taka því að vægja í né einum hlut við Svíakonung
konungur,nkeo,bað guð skipta milli þeirra og hinn helga Ólaf,konung,
konungur,nken,Setti þá Magnús,konungur,sína menn til stjórnar um land allt þar í Danmörk
konungur,nken,Sneri,konungur,þá með það lið er honum fylgdi austur til Eiðaskógs
konungur,nkeo,Hugsar hann þá fyrir sér ef hann getur yfirkomið þenna fjanda og verði honum auðið að koma aftur til Noregs að hann skal hverfa aftur til réttrar trúar og sættast við Ólaf,konung,ef hann vill við honum taka
konungur,nken,En Geirviður,konungur,lét það þá í ljós við Dagfinn að hann skyldi hans sóma meira gera í alla staði heldur en hvers manns annars í sínu ríki og bauð honum það að hann mundi afla honum kvonfangs og sagði svo að hann mundi þá konu fá honum til handa er hann vildi helst kjósa
konungur,nken,» Og nú við árnun biskups og Finns og hins annars er konungi féllst vel í þokka til Þormóðar þá mælti,konungur,
konungur,nkeþ,» Og nú við árnun biskups og Finns og hins annars er,konungi,féllst vel í þokka til Þormóðar þá mælti konungur
konungur,nken,Þann sama vetur andaðist Ragnhildur dóttir hans en eftir um vorið varð sóttdauður Haraldur,konungur,ungi í Sogni
konungur,nken,Muntu,konungur,þá dýrt kaupa líf Egils um það er vér erum allir að velli lagðir
konungur,nken,þessi tíðindi að Ólafur,konungur,var kominn á Lóar og nauðgaði mönnum að taka við kristni þá skar hann upp herör og stefndi öllum Dælum til bæjar þess er Hundþorp heitir til fundar við sig
konungur,nkeo,minnti þá á hversu mart illt hafði yfir þá gengið síðan er þeir höfðu það fyrr gert við hinn helga Ólaf,konung,
konungur,nkeþ,» Slíkt talaði Erlingur og annað þessu líkt og kom svo að lyktum að Erlingur gerðist handgenginn Valdimar,konungi,en konungur leiddi Erling til sætis og gaf honum jarldóm og Víkina til léns og yfirsóknar
konungur,nken,Þá fékk Ólafur,konungur,til fylgdar og til gæslu við Hrærek þann mann er Sveinn hét og var hann frændi Hræreks konungs og hafði verið hans maður áður
konungur,nken,» Þriggja missera björg fékk,konungur,Gesti
konungur,nken,Enn átti Haraldur,konungur,Áshildi dóttur Hrings Dagssonar ofan af Hringaríki
konungur,nken,Komu þeir Grímur þar þann tíma er,konungur,var genginn til borða
konungur,nken,Þar féll Haraldur,konungur,og Gyrður jarl bróðir hans og mikill hluti liðs þeirra
konungur,nkeþ,austan úr Hólmgarði og fóru að vitja mála þeirra er Ólafur konungur hafði áður um sumarið heitið að gifta Ingigerði dóttur sína Jarisleifi,konungi,
konungur,nken,,Konungur,tók þá í hirðlög með sér og segir að þeir skyldu vera undir merki hans í orustu
konungur,nkeþ,Þar varð sá atburður er Björn fylgdi,konungi,og sigldi með liði sínu fyrir sunnan sjá að fló yfir lið konungs flugdreki og lagðist að þeim og vildi hremma mann einn en Björn var nær staddur og brá skildi yfir hann en hremmdi hann næsta í gegnum skjöldinn
konungur,nken,Ingjaldur,konungur,var þá staddur á Ræningi að veislu er hann spurði að her Ívars konungs var þar nær kominn
konungur,nken,Önundur skyldi og,konungur,vera og hafa það af landi er semdist með þeim feðgum en vera skyldur til þess að fylgja þá bóndum ef Ólafur konungur gerir nokkura þá hluti er bændur vildu eigi þola honum
konungur,nken,Var Eysteinn,konungur,þá í brottu og kominn yfir fjörðinn og sá Skjöldur segl þeirra
konungur,nken,Um kveldið er menn sátu yfir drykkjuborðum talaði Ólafur,konungur,að engi maður af hans mönnum skyldi einn saman fara í salerni um náttina því að hver sem ganga beiddist skyldi með sér kalla sinn rekkjufélaga ella kvað hann eigi mundu hlýða
konungur,nken,,Konungur,kallaði arf Snorra Sturlusonar hafa fallið undir sig
konungur,nken,Síðan mælti,konungur,til Hallfreðar
konungur,nken,Um vorið var viður sá til skips fluttur er,konungur,gaf Þorkatli
konungur,nken,En er fall hans spurðist til Skotakonungs þá gaf,konungur,Þorfinni frænda sínum Katanes og Suðurland og jarlsnafn með og fékk menn til að stýra ríkinu með honum
konungur,nken,keisara öll skip sín og höfuð gullbúin voru á því skipi er,konungur,hafði stýrt
konungur,nken,Fám dögum síðar kom Haraldur,konungur,til jarls og taka þeir þá tal
konungur,nken,sonar Rígs er fyrstur var,konungur,kallaður á danska tungu
konungur,nkeþ,Síðan tóku Upplendingar Sigurð til konungs með ráði Sigurðar jarls og annarra höfðingja þeirra er fylgt höfðu Hákoni,konungi,og höfðu þeir þá enn styrk mikinn liðs
konungur,nken,Aðalsteinn,konungur,sneri í brott frá orustunni en menn hans ráku flóttann
konungur,nkeþ,En frændur Óttars og aðrir vinir kenndu ráðin mest Sigurði,konungi,en hann var þá í Kaupangi og voru bændur mjög geystir á hendur honum
konungur,nkeþ,Kálfur Árnason beiddist þess af,konungi,að hann gifti honum konu þá er Ölvir hafði átt og fyrir vináttu sakir veitti konungur honum það og þar með eignir þær allar er Ölvir hafði átt
konungur,nken,,konungur,hafði vegið hirðmann Eysteins konungs
konungur,nken,En er Magnús,konungur,kom til Suðureyja með her sinn þá flýði Lögmaður undan herinum og var í eyjunum en að lyktum tóku menn Magnúss konungs hann með skipsögn sína þá er hann vildi flýja til Írlands
konungur,nken,En ef Ólafur,konungur,Haraldsson vill vera konungur yfir Noregi þá fari hann á fund Knúts konungs og taki landið í lén af honum og gerist hans maður og gjaldi honum skatta slíka sem jarlar guldu fyrr
konungur,nken,Þenna vetur sat Ólafur,konungur,austur í Sarpsborg og það spurðist austan að konungs var ekki norður von
konungur,nken-s,»,Konungur,telur þá trú fyrir þeim sem öllum öðrum er á hans fund komu
konungur,nken,En er Þórir spurði að Ólafur,konungur,hafði fengið einn vald yfir öllum Noregi þóttist hann nú þar eiga að vitja vináttumála
konungur,nkeþ,sögðu svo að Svíar höfðu litla tírarför farið til Noregs þá er þeir fylgdu Ólafi,konungi,föður hans « og er eigi hér betra að von er þessi konungur er
konungur,nken,dauða hans lagði Hálfdan,konungur,Vermaland undir sig og tók skatta af og setti þar jarla yfir meðan hann lifði
konungur,nken,heitir nú á skapara himins og jarðar að taka við þeirri trú sem Ólafur,konungur,boðar ef hann fyndi á þeirri nátt Þorstein félaga sinn lífs og heilan
konungur,nkeo,En er þeir komu fyrir,konung,þá tók Þorgrímur sinni hendi hvorn þeirra bræðra og veik þeim frá sér og gekk fram á millum þeirra og sté upp á fótskörina og kvaddi konung og hvarf til hans en konungur tók sveininn brosandi og setti hann niður hjá sér og frétti hann að móðurætt sinni
konungur,nken,,Konungur,bauð Jökli heim með sér til veislu með alla sína menn og það þáði hann
konungur,nkeþ,En svo var hún orðin grimm Brjáni,konungi,eftir skilnað þeirra að hún vildi hann gjarna feigan
konungur,nken,Þá lét Ingi,konungur,blása liðinu upp úr bænum og var þar þá skorað nær fjórum tigum hundraða manna
konungur,nkeo,Fyrsta dag að veislunni áður Sveinn konungur stigi í hásæti föður síns þá drakk hann minni hans og strengdi heit áður þrír vetur væru liðnir að hann skyldi kominn með her sinn til Englands og drepa Aðalráð,konung,eða reka hann úr landi
konungur,nkeo,Hann hitti Ólaf,konung,er hann var í vesturvíking og gerðist hans maður og fylgdi honum síðan
konungur,nken,Þar var Hrærekur,konungur,og hafði þrjá tigu manna
konungur,nkeo,Og er hann kom til Steinkera þá gekk hann fyrir,konung,er hann sat yfir borðum og kvaddi hann vel
konungur,nken,Eftir það tók Sigurður,konungur,vel við frændsemi Haralds en Magnús sonur hans óþokkaðist mjög við Harald og margir höfðingjar sneru eftir honum
konungur,nken,En er,konungur,kom til borðs þá spurði hann hvar Emundur lögmaður væri
konungur,nken,» Þegar,konungur,verður vís farfýsi Kormáks þá kallar konungur Kormák til sín og segir hann óviturlega gera og letur hann ferðarinnar og tjáir það ekki
konungur,nkeo,Sigurður konungur var ekki mikill vinur hans og þótti hann allt hallur undir Inga,konung,mág sinn
konungur,nken,,Konungur,og hans menn fóru í laugina og lögðu menn klæði sín á völlinn en tjaldað var yfir laugina
konungur,nken,Þá er Ólafur,konungur,kom liði sínu í Ranríki þá stefndi hann þar þing við landsmenn og komu til hans þeir menn er eyjar byggðu eða nær sæ
konungur,nkeþ,og hirð sú er verið hafði fyrr með Magnúsi,konungi,og fjöldi annarra manna
konungur,nken,Hárekur sagði að þess var engi von « er Þórólfur svo viti borinn að hann mundi kunna sér að vera eigi fyrir liði yðru,konungur,
